Request for Initial Thesis Defense, طلب مناقشة مبدئية,
Initial Thesis Defense, مناقشة مبدئية,
Send to Director of Graduate Studies,إرسال إلى مدير الدراسات العليا,
Archivist,الأرشيف,
Director of Graduate Studies,مدير الدراسات العليا,
No One for Rejected Request,لا أحد لطلب الرفض,
The File Pending Delivery by the Archivist,الملف في انتظار التسليم من قبل أمين الأرشيف,
Approval Pending by Director of Graduate Studies,موافقة مدير الدراسات العليا في انتظار,
Clear,مسح,
Not Paid,ليست مدفوعة,
Paid,مدفوعة,
Two Semesters,ترمين,
Semester,ترم,
College Council Head,رئيس مجلس الكلية,
College Dean,عميد الكلية,
Department Council Head,رئيس مجلس القسم,
Department Head,رئيس القسم,
Vice Dean For GSA,نائب عميد الدراسات العليا,
Draft,مسودة,
Rejected by College Council,تم الرفض من مجلس الكلية,
Approved by College Dean,تمت الموافقة من عميد الكلية,
Rejected by College Dean,تم الرفض من عميد الكلية,
Rejected by Department Council,تم الرفض من مجلس القسم,
Rejected by Department Head,تم الرفض من رئيس القسم,
Rejected by Vice Dean for GSA,تم الرفض من نائب العميد للدراسات العليا,
Approved by College Council,تمت الموافقة من مجلس الكلية,
Approval Pending by College Council,في انتظار مصادقة مجلس الكلية,
Send to College Council,إرسال لمجلس الكلية,
Approval Pending by College Dean,في انتظار مصادقة عميد الكلية,
Approval Pending by Department Council,في انتظار مصادقة مجلس القسم,
Send to College Dean,إرسال لعميد الكلية,
Send to Department Council,إرسال لمجلس القسم,
Approval Pending by Department Head,في انتظار مصادقة رئيس القسم,
Approval Pending by Vice Dean for GSA,في انتظار مصادقة نائب العميد للدراسات العليا,
Reject,رفض,
Send to Department Head,إرسال لرئيس القسم,
Confirm,تأكيد,
Can't add a suspend enrollment request, because you have an active withdrawal request (,لا يمكن إضافة طلب وقف القيد، لأن لديك طلب إنسحاب نشط (,
Can't add a suspend enrollment request, because you have an active continue enrollment request (,لا يمكن إضافة طلب وقف القيد، لأن لديك طلب فتح القيد نشط (,
Can't add a suspend enrollment request, because you have an active suspend enrollment request (,لا يمكن إضافة طلب وقف القيد، لأن لديك طلب وقف القيد النشط (,
requests!,طلبات!,
Can't add a suspend enrollment request, because you requested more than limit:,لا يمكن إضافة طلب وقف القيد، لأنك طلبت أكثر من الحد المسموح:,
Can't add a suspend enrollment request, because you have been suspended! (Max of allowed suspend enrollment requests =,لا يمكن إضافة طلب وقف القيد، لأنك قد تم وقف قيدك! (الحد الأقصى لعدد طلبات وقف القيد المسموح به =,
Can't add a suspend enrollment request, because current status is withdrawn!,لا يمكن إضافة طلب إنسحاب، لأن الطالب منسحب!,
Failed! Student is withdrawn!,فشل! الطالب منسحب!,
Please attach reason file first!,الرجاء إرفاق ملف السبب أولاً!,
Please pay fees first!,الرجاء دفع الرسوم أولاً!,
Continue,متابعة,
Are you sure you want to continue?,هل أنت متأكد أنك تريد المتابعة؟,
An error occurred while saving the document.,حدث خطأ أثناء حفظ المستند.,
Error,خطأ,
OOPS, We could not proceed!,عذرًا، لا يمكننا المتابعة!,
Successfully rejected.,تم الرفض بنجاح.,
Please enter reason of rejection!,الرجاء إدخال سبب الرفض!,
Validation Error,خطأ في التحقق,
Enter reason of rejection,أدخل سبب الرفض,
Role:,<th>الصلاحية:</th>,
Do you want to add a continue enrollment request?,هل ترغب في إضافة طلب قتح قيد؟,
Click here to show request details,انقر هنا لعرض تفاصيل الطلب,
Rejection Date,تاريخ الرفض,
You can attach only pdf file,يمكنك إرفاق ملف PDF فقط,
You have to pay fees of request before confirm it!,يجب عليك دفع رسوم الطلب قبل تأكيده!,
College Council Minutes State,حالة محضر مجلس الكلية,
College Council Minutes Decision,قرار محضر مجلس الكلية,
College Council Minutes Date,تاريخ محضر مجلس الكلية,
College Council Minutes Number,رقم محضر مجلس الكلية,
College Council Minutes,محضر مجلس الكلية,
Department Council Minutes State,حالة محضر مجلس القسم,
Department Council Minutes Decision,قرار محضر مجلس القسم,
Department Council Minutes Date,تاريخ محضر مجلس القسم,
Department Council Minutes Number,رقم محضر مجلس القسم,
Department Council Minutes,محضر مجلس القسم,
Councils Information,معلومات المجالس,
Timeline,الجدول الزمني,
Fees Information,معلومات الرسوم,
Fees Status,حالة الرسوم,
Request Attachment,إرفاق سبب وقف القيد,
Approval Date,تاريخ الموافقة,
Specialization,التخصص,
College,الكلية,
Program,البرنامج,
Full Name English,الاسم الكامل (بالإنجليزية),
Full Name Arabic,الاسم الكامل (بالعربية),
Modified Request Date,تاريخ تعديل الطلب,
Rejection Reason,سبب الرفض,
Status,الحالة,
Reason,السبب,
Student,الطالب,
Withdrawal Request,طلب انسحاب,
Continue Enrollment Request,طلب فتح قيد,
Suspend Enrollment Request,طلب وقف قيد,
Requests,الطلبات,
Withdrawn,منسحب,
Continued,مستمر,
Suspended,موقف قيد,
Current status is Suspended.,حالتك الحالية موقف قيد,
Approve,موافقة,
Approved,تمت الموافقة,
Can't add a continue enrollment request, because current status is continued!,لا يمكنك اضافة طلب فتح قيد , لأن حالتك الحالية مستمر,
Documentation,التوثيق,
Failed! Student is withdrawn,فشل ! الطالب منسحب,
Failed! Student is already Continued!,فشل !الطالب بالفعل مستمر,
Can't add a continue enrollment request, because you have an active withdrawal request,لا يمكنك اضافة طلب فتح قيد , بسبب وجود طلب انسحاب نشط,
Current status is,حالتك الحالية هي,
Can't add a continue enrollment request, because you have an active suspend enrollment request,لا يمكنك اضافة طلب فتح قيد , بسبب وجود طلب وقف قيد نشط,
Can't add a continue enrollment request, because you have an active continue enrollment request,لا يمكنك اضافة طلب فتح قيد , بسبب وجود طلب فتح قيد نشط,
Do you want to add a suspend enrollment request?,هل تريد إضافة طلب وقف قيد ؟,
Can't add a continue enrollment request, because current status is,لا يمكنك اضافة طلب فتح قيد ,لأن حالتك الحالية هي,
There is no approved suspend enrollment request!,ليس هناك أي طلب وقف قيد تم الموافقة عليه,
Suspend Period,مدة الإيقاف,
Request Date,تاريخ الطلب,
Request Number,رقم الطلب,
Last Approved Suspend Enrollment Request Details,تفاصيل اخر طلب وقف قيد تم الموافقة عليه,
Request Information,معلومات الطلب,
Department,القسم,
Year of Enrollment,سنة الالتحاق,
Student Information,معلومات الطالب,
Details,التفاصيل,
New Continue Enrollment Requets,وقف قيد جديد,
Add Continue Enrollment Request, إضافة طلب فتح قيد,
Rejected by Finance Officer,مرفوض من قبل المسؤول المالي,
Approval Pending by Finance Officer,الموافقة في انتظار موظف الشؤون المالية,
File Delivery Date,تاريخ تسليم الملف,
Library Eviction,إخلاء المكتبة,
Can't add Withdrawnal request, because current status is Withdrawn!,لا يمكن إضافة طلب انسحاب ، لأن الحالة الحالية منسحب!,
Financial Status,الحالة المالية,
Rejected by Director of Graduate Studies,مرفوض من قبل مدير الدراسات العليا,
Financial Information,المعلومات المالية,
The File Delivered by Archivist,الملف تم تسليمه بواسطة أمين الأرشيف,
Finance Officer,موظف مالي,
Approve,قبول,
Department,القسم,
Year of Enrollment,سنة التسجيل,
Request Date,تاريخ الطلب,
Suspend Period,مدة الإيقاف,
Request Information,معلومات الطلب,
Student Information,معلومات الطالب,
Details,تفاصيل,
Approval Pending by Vice Dean for GSA,في انتظار مصادقة نائب العميد للدراسات العليا,
Please enter reason of rejection!,ادخل سبب الرفض من فضلك !,
Click here to show request details,اضغط هنا لعرض تفاصيل الطلب,
You have to pay fees of request before confirm it!,يجب عليك دفع رسوم الطلب أولا قبل التأكيد!,
Paid,مسدد,
Not Paid,غير مسدد,
Fees Status,حالة الرسوم,
Approval Date,تاريخ الموافقة,
Status,الحالة,
Specialization,التخصص,
College,الكلية,
Program,البرنامج,
Full Name English,الإسم الانجليزي كاملا,
Full Name Arabic,الإسم العربي كاملا,
Student,الطالب,
Fees Information,معلومات الرسوم,
Transaction created successfully with ID: {0},{0}تم إنشاء المعاملة بنجاح، مُعرف المعاملة:,
Submit,تأكيد,
PSA Settings,إعدادات الدراسات العليا,
Current Research Title Arabic,عنوان البحث الحالي بالعربي,
Current Research Title English,عنوان البحث الحالي بالإنجليزي,
Suggested Co-Supervisor  from another university ?,مشرف مساعد من جامعة أخرى ؟,
External Suggested Supervisors,المشرفين المقترحين الخارجيين,
Suggested  from another university ?,مشرف من جامعة أخرى ؟,
Internal Suggested Supervisors,المشرفين المقترحين الداخليين,
The Faculty Member {0} is already selected. Please choose a different one.,عضو الكلية :  تم تحديده بالفعل ، الرجاء اختيار عضو آخر .,
Co-Supervisors:,المشرف المساعد,
Main Supervisor's Faculty:,الكلية للمشرف الرئيسي,
Main Supervisor's Academic Rank:,الرتبة الأكاديمية للمشرف الرئيسي,
Main Supervisor's Appointment Date:,تاريخ تعيين المشرف الرئيسي,
Main Supervisor Name (English):,اسم المشرف الرئيسي بالانجليزي,
Main Supervisor Name (Arabic):,اسم المشرف الرئيسي بالعربي,
Date of Approval:,تاريخ الموافقة,
Research Title (English):,عنوان البحث بالانجليزي,
Research Title (Arabic):,عنوان البحث بالعربي,
Current status is {0}.,الحالة الحالية مستمر,
Can't add a continue enrollment request, because current status is {0}!,لا يمكنك اضافة طلب فتح قيد, لأن حالتك الأكاديمية الحالية مستمر,
Current status is {0}.,الحالة الحالية {0}.,
Name (Arabic):,الاسم بالعربية:,
Appointment Date:,تاريخ التعيين:,
Program Degree:,درجة البرنامج:,
Faculty Department:,برنامج القسم:,
Program Faculty:,برنامج االكلية:,
Program Specification:,توصيف البرنامج:,
Program Name:,اسم البرنامج:,
Student Faculty:,الكلية:,
Program Enrollment Status:,حالة الالتحاق بالبرنامج:,
Program Enrollment Date:,تاريخ الالتحاق بالبرنامج:,
Full Name (English):,الاسم كاملا (بالانجليزي):,
Full Name (Arabic):,الاسم كامل (بالعربي):,
Research Details:,تفاصيل البحث:,
Student Details:,تفاصيل الطالب:,
Save,حفظ,
User,مستخدم,
Role Permission Manager,إدارة الصلاحيات والأدوار,
Public,عام,
Request Status,حالة الطلب,
Program Enrollment,مًلتحق بالبرنامج,
Student Request,طلبات الطالب,
Edit,تعديل,
Create Workspace,إضافة لوحة تحكم,
PSA Documentation,دليل مستخدم الدراسات العليا,
PSA Documantation,دليل مستخدم الدراسات العليا,
Thesis Defense Committee,لجنة مناقشة نهائية,
New Thesis Defense Committee Request,طلب تشكيل لجنة مناقشة نهائية جديد,
PUBLIC,عام,
Refreshing...,جار التحديث...,
New Suspend Enrollment Request,طلب وقف قيد جديد,
Search or type a command (Ctrl + G),قم بالبحث أو أكتب الأمر (Ctrl + G),
Transaction Information,معلومات المعاملة,
The File Pending Delivery by the Archivist,الملف في انتظار التسليم من قبل أمين الأرشيف,
No One for Rejected Request,لا أحد لطلب الرفض,
Director of Graduate Studies,مدير الدراسات العليا,
Archivist,الأرشيف,
Send to Director of Graduate Studies,إرسال إلى مدير الدراسات العليا,
Co-Supervisor,المشرف المساعد,
Check it to set a limit on the number of allowed researches a faculty member can be a co-supervisor for.,تحقق من ذلك لتحديد حد لعدد الأبحاث المسموح لعضو هيئة التدريس بأن يكون مشرفًا مساعدًا عليها.,
Set a limit on the number of researches a faculty member can be a co-supervisor for,حدد حدًا لعدد الأبحاث التي يمكن لعضو هيئة التدريس أن يكون مشرفًا مساعدًا عليها,
Main Supervisor,المشرف الرئيسي,
Number of researches,عدد الأبحاث,
Check it to set a limit on the number of allowed researches a faculty member can be a main supervisor for.,تحقق من ذلك لتحديد حد لعدد الأبحاث المسموح لعضو هيئة التدريس بأن يكون مشرفًا رئيسيًا عليها.,
Set a limit on the number of researches a faculty member can be a main supervisor for,حدد حدًا لعدد الأبحاث التي يمكن لعضو هيئة التدريس أن يكون مشرفًا رئيسيًا عليها,
Maximum number of suggested committee members,الحد الأقصى لعدد أعضاء اللجنة المقترحين,
Minimum number of suggested committee members,الحد الأدنى لعدد أعضاء اللجنة المقترحين,
Check it to set a limit on the number of allowed suggested committee members a supervisor can select.,تحقق من ذلك لتحديد حد لعدد أعضاء اللجنة المقترحين المسموح للمشرف باختيارهم.,
Set a limit on the number of suggested committee members,حدد حدًا لعدد أعضاء اللجنة المقترحين,
Set a limit on the number of researcher meetings,حدد حدًا لعدد اجتماعات الباحثين,
Check it to set a limit on the number of meetings a researcher can create per a program.,تحقق من ذلك لتحديد حد لعدد الاجتماعات التي يمكن للباحث تنظيمها لكل برنامج.,
Researcher Meetings,الاجتماعات,
Number of progress reports per a program,عدد تقارير التقدم لكل برنامج,
Program degrees,درجات البرامج,
Number of days a student can delay submitting a progress report before notifying the supervisor,عدد الأيام التي يمكن للطالب تأخير تقديم تقرير التقدم قبل إخطار المشرف,
Program progress reports,تقارير تقدم البرنامج,
Progress Reports,تقرير التقدم,
Set a limit on the number of change co-supervisor requests,حدد حدًا لعدد طلبات تغيير المشرف المساعد,
Change Main Supervisor Requests,تغيير طلبات المشرف الرئيسي,
Set a limit on the number of change main supervisor requests,حدد حدًا لعدد طلبات تغيير المشرف الرئيسي,
Check it to set a limit on the number of change main supervisor requests a student can create per a program.,تحقق من ذلك لتحديد حد لعدد طلبات تغيير المشرف الرئيسي التي يمكن للطالب تقديمها لكل برنامج.,
Check it to set a limit on the number of change co-supervisor requests a student can create per a program.,تحقق من ذلك لتحديد حد لعدد طلبات تغيير المشرف المساعد التي يمكن للطالب تقديمها لكل برنامج.,
Set a limit on the number of change co-supervisor requests,حدد حدًا لعدد طلبات تغيير المشرف المساعد,
Set a limit on the number of co-supervisors,حدد حدًا لعدد المشرفين المساعدين,
Change Co-Supervisor Requests,تغيير طلبات المشرف المساعد,
Check it to set a limit on the number of co-supervisors a student can have.,تحقق من ذلك لتحديد حد لعدد المشرفين المساعدين الذي يمكن للطالب الحصول عليهم.,
Changing the research student’s co-supervisor requires the approval of the main supervisor?,هل يتطلب تغيير مشرف الطالب البحثي المشارك موافقة المشرف الرئيسي؟,
Require the approval of the main supervisor,يتطلب موافقة المشرف الرئيسي,
Change Research Supervisor Requests,تغيير طلبات مشرف البحث,
Maximum number of suggested supervisors,الحد الأقصى لعدد المشرفين المقترحين,
Set the value to 0 to set no maximum.,حدد القيمة بـ 0 لعدم تحديد حد أقصى.,
Set the value to 0 to set no minimum.,حدد القيمة بـ 0 لعدم تحديد حد أدنى.,
Minimum number of suggested supervisors,الحد الأدنى لعدد المشرفين المقترحين,
Check it to set a limit on the number of allowed suggested supervisors a student can select.,تحقق من ذلك لتحديد حد لعدد المشرفين المقترحين المسموح للطالب باختياره.,
Set a limit on the number of suggested supervisors,حدد حدًا لعدد المشرفين المقترحين,
Allow before end of period,السماح قبل نهاية الفترة,
Continue Enrollment Requests,طلبات متابعة التسجيل,
Check it to allow students to create a continue enrollment request before the end of period.,تحقق من ذلك للسماح للطلاب بتقديم طلب متابعة التسجيل قبل نهاية الفترة.,
Check it to set a limit on the number of rejected requests a student can create per an enrolled program.,تحقق من ذلك لتحديد حد لعدد الطلبات المرفوضة التي يمكن للطالب تقديمها لكل برنامج مسجل فيه.,
Enrollment Requests,طلبات التسجيل,
Suspend Enrollment Requests,تعليق طلبات التسجيل,
Number of rejected requests,عدد الطلبات المرفوضة,
Set a limit on the number of rejected requests,حدد حدًا لعدد الطلبات المرفوضة,
Number of requests,عدد الطلبات,
Set a limit on the number of requests,حدد حدًا لعدد الطلبات,
Check it to set a limit on the number of requests a student can create per an enrolled program.,تحقق من ذلك لتحديد حد لعدد الطلبات التي يمكن للطالب إنشاؤها لكل برنامج مسجل فيه.,
Add program degrees that student can suspend enrollment during them.,أضف درجات البرامج التي يمكن للطالب تعليق التسجيل خلالها.,
Allowed Program Degrees,درجات البرامج المسموح بها,
Enrollment Requests,طلبات التسجيل,
Research Supervisor Limit,حدود مشرف البحث,
Check it to prevent adding a new request if there is another request that is draft or pending approval.,تحقق من ذلك لمنع إضافة طلب جديد إذا كان هناك طلب آخر في حالة المسودة أو بانتظار الموافقة.,
Check Active Requests Before Insert,تحقق من الطلبات النشطة قبل الإدخال,
PSA Settings,اعداات نظام الدراسات العليا,
Formation Discussion Committee,تشكيل لجنة المناقشة,
Program Publication Requirement,متطلبات نشر البرنامج,
Research Count,عدد الأبحاث,
Effective Date,تاريخ النفاذ,
Satisfaction Status,حالة الأقتناع,
Expected Date of Thesis Submission,تاريخ تقديم الرسالة المتوقع,
Research Overall Achievement,الإنجاز العام في البحث,
Please fill your achievements.,يرجى تعبئة إنجازاتك.,
Research Achievement %,% نسبة إنجاز البحث,
Overall Achievement,الإنجاز العام,
Student Report,تقرير الطالب,
Achievement in the Period,الإنجازات خلال الفترة,
Supervisor Report,تقرير المشرف,
Meetings,الأجتماعات,
Progress Report,تقرير انجاز,
Thesis Defense Committee Request,طلب لجنة مناقشة الرسالة,
Member of External Selected Committee,عضو في اللجنة الخارجية المختارة,
Member of Internal Selected Committee,عضو في اللجنة الداخلية المختارة,
Extension Request,طلب تمديد,
Researcher Meeting,استمارة اجتماع باحث,
Supervisor Notes,ملاحطات المشرف,
Meeting Details,تفاصيل الأجتماع,
Meeting Place,مكان الأجتماع,
Meeting Period,مدة الأجتماع,
Meeting Time,وقت الأجتماع,
Meeting Date,تاريخ الأجتماع,
Initial Discussion,المناقشة المبدئية,
Discussion Committee Evaluation,تقييم لجنة المناقشة,
Selected Committee,اللجنة المختارة,
Discussion Place,مكان المناقشة,
Discussion Time,وقت المناقشة,
Discussion Date,تاريخ المناقشة,
Drag and drop files here or upload from,سحب وإسقاط الملفات هنا أو تحميلها من,
Research Document,البحث عن الوثيقة,
Initial Discussion Request,طلب مناقشة مبدئية,
Naming series,سلسلة التسمية,
Student Research,أبحاث الطلاب,
Change Research Co Supervisor Request,طلب تغيير مشرف مساعد في البحث,
modified_request_date,تاريخ_الطلب_المعدل,
Suggested Co-Supervisor  from another university?,مشرف مساعد مقترح من جامعة أخرى؟,
Approval Supervisor Appointment Date,تاريخ تعيين مشرف الموافقة,
Change Research Main Supervisor Request,طلب تغيير مشرف رئيسي على البحث,
Suggested  from another university?,مقترح من جامعة أخرى؟,
Current Supervisor,المشرف الحالي,
Change Reason,سبب التغيير,
Current status is Continued.,الوضع الحالي هو مستمر.,
Change Research Title Request,طلب تغيير عنوان البحث,
Draft,مسودة,
Fill it with change reasons.,املأها بأسباب التغيير.,
Student Supervisor,مشرف الطالب,
Student Research,أبحاث الطلاب,
New Research Title English,العنوان الجديد للبحث بالإنجليزي,
New Research Title Arabic,العنوان الجديد للبحث بالعربي,
Send to Director of Graduate Studies,إرسال إلى مدير الدراسات العليا,
Archivist,الأرشيف,
Director of Graduate Studies,مدير الدراسات العليا,
No One for Rejected Request,لا أحد لطلب الرفض,
The File Pending Delivery by the Archivist,الملف في انتظار التسليم من قبل أمين الأرشيف,
External Suggested Supervisor,المشرف المقترح الخارجي,
Suggested Supervisor,المشرف المقترح,
External Discussion Committee,اللجنة الخارجية للمناقشة,
Internal Discussion Committee,اللجنة الداخلية للمناقشة,
Publication Condition,شرط النشر,
Meeting with,اجتماع مع,
Program Degree and Proficiency Test,درجة البرنامج واختبار الكفاءة,
Progress Report Settings Child Table,إعدادات تقرير التقدم,
Can't add a progress report, because current status is,لا يمكن إضافة تقرير انجاز، لأن الحالة الحالية هي,
Click here to show request details,انقر هنا لعرض تفاصيل الطلب,
Report Date' can't be smaller than 'To Date', please choose another date!,تاريخ التقرير لا يمكن أن يكون أصغر من تاريخ الانتهاء، يرجى اختيار تاريخ آخر!,
From Date' can't be bigger than 'To Date', please choose another date!,تاريخ البداية لا يمكن أن يكون أكبر من تاريخ النهاية، يرجى اختيار تاريخ آخر!,
To Date' can't be smaller than 'From Date', please choose another date!,تاريخ النهاية لا يمكن أن يكون أصغر من تاريخ البداية، يرجى اختيار تاريخ آخر!,
Please write your notes to submit!,يرجى كتابة ملاحظاتك لتقديمها!,
Can't add a progress report, because you have an active,لا يمكن إضافة تقرير تقدم، لأن لديك حالة نشطة,
There is not any meeting in the period.,لا يوجد أي اجتماع في الفترة الزمنية المحددة.,
You can attach only pdf file,يمكنك إرفاق ملف بصيغة PDF فقط.,
Graduated,الطالب مُتخرج,
